ID	Product	Protocol	Fingerprint	F. Type	Shodan	Censys	Fingerprint Type	Fingerprint proposed by	Support	Status	BITSIGHT COMMENTS	Implemented on	Provided by Schneider	Remarks (Schneider)	Groma Implemented Date	Groma JIRA Ticket	Groma CPE	CPE Review (SE)
29	Galaxy VS	HTTP/HTTPS	services.http.response.html_title: "UPS Network Management Card 4"			Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 28		9/13/2024			RP-220916: Adding fingerprints for Galaxy VS
30	Link150	SNMP	Name: LINK150		Y	Y	IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220917: Adding fingerprints for Link150
31	Link150	Modbus	Device Identification: EGX150		Y	Y	OT	Schneider Electric	Supported	Implemented		7/7/2023	9/13/2024			RP-220917: Adding fingerprints for Link150
32	PowerLogic ION 8650 	HTTP/HTTPS	hash:-1746176263	Login Page Hash	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220926: Adding fingerprints for PowerLogic ION 8650
33	PowerLogic ION 8650 	HTTP/HTTPS	http.html:"<title>PowerLogic ION 8650</title>"	Title	Y		IT	Schneider Electric	Supported	Implemented		6/27/2024	9/13/2024			RP-220926: Adding fingerprints for PowerLogic ION 8650
34	PowerLogic ION 8650 	HTTP/HTTPS	services.http.response.headers: (key: "WWW-Authenticate" and value.headers: "Basic realm=8650 ION")			Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024			RP-220926: Adding fingerprints for PowerLogic ION 8650
35	PowerLogic ION 8650 	HTTP/HTTPS	services.http.response.html_tags: "PowerLogic ION 8650"			Y	IT	Schneider Electric	Unsupported	Review	Too generic. Needs review from Schneider Electric team.		9/13/2024			RP-220926: Adding fingerprints for PowerLogic ION 8650
36	ION 7400	HTTP/HTTPS	ssl:"ION7400"	SSL Certificate	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220928: Adding fingerprints for ION 7400
37	ION 7400	HTTP/HTTPS	services.tls.certificate.parsed.issuer.common_name: "ION7400"	SSL Certificate		Y	IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220928: Adding fingerprints for ION 7400
38	ION 9000	HTTP/HTTPS	ssl:"ION9000"	SSL Certificate	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220930: Adding fingerprints for ION 9000
39	ION 9000	HTTP/HTTPS	services.tls.certificate.parsed.issuer.common_name: "ION9000"	SSL Certificate		Y	IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220930: Adding fingerprints for ION 9000
40	BMEH582040	Modbus	Device Identification: Schneider Electric BME H58 2040		Y		OT	Schneider Electric	Supported	Implemented		8/16/2023	9/13/2024
41	BMEH582040	Modbus	CPU module: BME H58 2040		Y		OT	Schneider Electric	Supported	Not Implemented			9/13/2024
42	BMENOC0301	SNMP	Name: BMENOC0301		Y		IT	Schneider Electric	Supported	Implemented		5/31/2023	9/13/2024
43	BMENOC0301	SNMP	 Description: * BMENOC0301 *		Y		IT	Schneider Electric	Supported	Implemented		5/31/2023	9/13/2024
44	BMENOC0301	EIP	Product name: BMENOC0301		Y		OT	Schneider Electric	Supported	Implemented		5/31/2023	9/13/2024
45	PowerLogic ION 8000	HTTP/HTTPS	http.favicon.hash:586189054	Favicon	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024
46	PM8000	General	"PM8000"		Y		IT	Schneider Electric	Unsupported	Review	Too generic. Needs review from Schneider Electric team.		9/13/2024
47	Modicon M241	OPCUA	services.parsed.opc_ua.endpoints.server.application_uri="urn::SchneiderElectric:M241-251UaServer"			Y	OT	Schneider Electric	Supported	Implemented		7/1/2024	9/13/2024
48	EcoStruxure™ Automation Expert	OPCUA	services.parsed.opc_ua.endpoints.server.application_uri=`urn:SchneiderElectric:EcoRT`			Y	OT	Schneider Electric	Supported	Implemented		10/10/2024	9/13/2024
49	NMC2	FTP	services.ftp.banner="*AP963*"			Y	IT	Schneider Electric	Supported	Implemented	Implemented as a set of 45 more specific FTP fingerprints (review)	7/13/2023	9/13/2024
50	NMC2	FTP	AP963* Network Management Card AOS		Y		IT	Schneider Electric	Supported	Implemented	Implemented as a set of 45 more specific FTP fingerprints (review)	7/13/2023	9/13/2024
